weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p13_x,p13_y,p14_x,p14_y,p15_x,p15_y,p16_x,p16_y,label
118.5,113.7,47.8,7.8,291.2,291,0,0,0.4721008,0.09836852,0.80457574,0.33656284,0.8148621,0.67799,0.49309263,0.9247272,0.1682352,0.7173087,0.45237654,0.2333549,0.4433234,0.38545898,0.4395724,0.5139301,0.45128357,0.64196885,0.46967164,0.78607064,0.51113826,0.8014417,0.5196214,0.65168685,0.52404016,0.52271247,0.5126786,0.39335018,0.49423546,0.24582498,banana
119.2,113.2,47.8,7.7,298.4,298.1,0,0,0.47168833,0.094956525,0.8047863,0.33535352,0.8138284,0.67949104,0.49141595,0.92183167,0.16576704,0.7091665,0.45227766,0.23174533,0.4433526,0.3840688,0.43953872,0.51284355,0.4510335,0.6407082,0.46896166,0.78427416,0.5102119,0.7996121,0.51918656,0.65049833,0.5239011,0.5222156,0.51257664,0.39296308,0.49409223,0.24492091,banana
119.2,111.8,52,7.8,294.4,292.9,0,0,0.47157207,0.09329986,0.8050131,0.33739677,0.8143212,0.6847713,0.4894039,0.92217475,0.1629218,0.6924321,0.45283857,0.23165785,0.44430545,0.3837604,0.4405168,0.5128513,0.4517227,0.6405745,0.46884915,0.7836052,0.5101165,0.7989082,0.52037853,0.6504818,0.5255204,0.52361816,0.51390094,0.3948823,0.49486038,0.24601166,banana
123,109.5,24.3,55.6,297.5,298.9,0,0,0.47470236,0.10508018,0.8069773,0.286292,0.8142264,0.6641509,0.48840278,0.94386303,0.16623239,0.69575083,0.45919192,0.23171297,0.4504503,0.385002,0.44414267,0.5157353,0.4533291,0.64434195,0.4698821,0.7905132,0.509405,0.8005911,0.52198565,0.6479991,0.5277719,0.5203793,0.5172372,0.39168984,0.4991011,0.2453293,banana
103.1,128.9,4.6,41.3,324.2,324.9,0,0,0.47677684,0.10291804,0.80647105,0.33940956,0.81266236,0.6733245,0.4881039,0.94668275,0.15490799,0.69148,0.4526534,0.23330437,0.43974468,0.3855197,0.43333545,0.51543576,0.44396752,0.6437611,0.46352252,0.79054004,0.50795275,0.8066307,0.5181136,0.65505797,0.52314883,0.5269671,0.5124928,0.39648375,0.49640176,0.2471332,banana
122.5,109.8,27.9,50.9,316.3,316.9,0,0,0.47746286,0.10378299,0.8090086,0.3349515,0.8143678,0.6761478,0.48922533,0.94210327,0.15888909,0.6868794,0.4550479,0.22979179,0.44418356,0.3819382,0.43829313,0.51270026,0.44850415,0.6421995,0.4666509,0.78952974,0.50923234,0.805635,0.51893675,0.6540842,0.5235968,0.52522993,0.51301754,0.39425805,0.49729064,0.24503979,banana
117.2,115.3,8.1,44,309,310.2,0,0,0.47306287,0.10280743,0.80649763,0.28774023,0.813657,0.6642822,0.4874814,0.94223636,0.16135684,0.69986975,0.45647743,0.23275812,0.4468085,0.38635123,0.44046155,0.51709056,0.44993615,0.64543146,0.4673195,0.7909878,0.50862837,0.8000992,0.5214335,0.64789116,0.5274742,0.5207785,0.516778,0.39245093,0.4981,0.24607578,banana
135.4,122.5,28.6,34.3,283,283.5,0,0,0.4731401,0.10523915,0.81357014,0.32821873,0.8181688,0.6773179,0.4884951,0.94037306,0.15206082,0.69681793,0.4530683,0.23779069,0.44263127,0.38996547,0.43707484,0.5191722,0.44763398,0.64719933,0.46589023,0.79237837,0.5100755,0.80494434,0.5216502,0.6542715,0.5274029,0.5267873,0.51636535,0.3982132,0.49749503,0.2511386,banana
137.9,118.2,31.5,50.7,315.4,313.1,0,0,0.46888942,0.10185337,0.8065246,0.2814982,0.81458956,0.6660138,0.48576736,0.9376914,0.15405042,0.7053697,0.4543536,0.2352975,0.4460528,0.38899428,0.44031423,0.51963246,0.44974858,0.6476203,0.4665204,0.79158735,0.5073828,0.7985714,0.5205561,0.6473195,0.52680445,0.52061725,0.51588756,0.3931453,0.49625528,0.24738662,banana
137.6,119.8,32,50.1,277.5,278.1,0,0,0.47001743,0.10678518,0.80964357,0.29395756,0.8171442,0.67170024,0.4881184,0.9393783,0.1541773,0.6994542,0.45428595,0.23624851,0.4460488,0.3895049,0.4406172,0.5202319,0.45051974,0.6486459,0.4679473,0.7930955,0.5099528,0.8014168,0.5224197,0.6504355,0.52816266,0.52343106,0.5168803,0.39540952,0.497238,0.24922086,banana
